Time,Available,Type
2019-05-17 11:00:00+00:00,149,High
2019-05-18 11:00:00+00:00,119,High
2019-05-19 11:00:00+00:00,111,High
2019-05-21 11:00:00+00:00,147,High
2019-05-22 11:00:00+00:00,255,High
2019-05-23 11:00:00+00:00,163,High
2019-05-24 11:00:00+00:00,177,High
2019-05-25 11:00:00+00:00,130,High
2019-05-26 11:00:00+00:00,186,High
2019-05-27 11:00:00+00:00,185,High
2019-05-28 11:00:00+00:00,174,High
2019-05-29 11:00:00+00:00,237,High
2019-05-30 11:00:00+00:00,195,High
2019-05-31 11:00:00+00:00,187,High
2019-06-01 11:00:00+00:00,225,High
2019-06-02 11:00:00+00:00,209,High
2019-06-03 11:00:00+00:00,191,High
2019-06-04 11:00:00+00:00,163,High
2019-06-05 11:00:00+00:00,198,High
2019-06-06 11:00:00+00:00,190,High
2019-06-07 11:00:00+00:00,217,High
2019-06-08 11:00:00+00:00,246,High
2019-06-09 11:00:00+00:00,295,High
2019-06-10 11:00:00+00:00,219,High
2019-06-11 11:00:00+00:00,190,High
2019-06-12 11:00:00+00:00,176,High
2019-06-13 11:00:00+00:00,189,High
2019-06-14 11:00:00+00:00,201,High
2019-06-15 11:00:00+00:00,229,High
2019-06-16 11:00:00+00:00,249,High
2019-06-17 11:00:00+00:00,249,High
2019-06-18 11:00:00+00:00,213,High
2019-06-19 11:00:00+00:00,184,High
2019-06-20 11:00:00+00:00,196,High
2019-06-21 11:00:00+00:00,208,High
2019-06-22 11:00:00+00:00,238,High
2019-06-23 11:00:00+00:00,269,High
2019-06-24 11:00:00+00:00,223,High
2019-06-25 11:00:00+00:00,186,High
2019-06-26 11:00:00+00:00,208,High
2019-06-27 11:00:00+00:00,157,High
2019-06-28 11:00:00+00:00,187,High
2019-06-29 11:00:00+00:00,277,High
2019-06-30 11:00:00+00:00,221,High
2019-07-01 11:00:00+00:00,229,High
2019-07-02 11:00:00+00:00,219,High
2019-07-03 11:00:00+00:00,201,High
2019-07-04 11:00:00+00:00,292,High
2019-07-05 11:00:00+00:00,198,High
2019-07-06 11:00:00+00:00,270,High
2019-07-07 11:00:00+00:00,276,High
2019-07-08 11:00:00+00:00,208,High
2019-07-09 11:00:00+00:00,134,High
2019-07-10 11:00:00+00:00,236,High
2019-07-11 11:00:00+00:00,312,High
2019-07-12 11:00:00+00:00,250,High
2019-07-13 11:00:00+00:00,297,High
2019-07-14 11:00:00+00:00,288,High
2019-07-15 11:00:00+00:00,277,High
2019-07-16 11:00:00+00:00,274,High
2019-07-17 11:00:00+00:00,196,High
2019-07-18 11:00:00+00:00,325,High
