OBJECTID,L_F_ADD,R_F_ADD,L_T_ADD,R_T_ADD,STREETALL,F_CLASS,ALT_NAM1,ALT_NAM2,ZIP5_L,ZIP5_R,CITYLEFT,CITYRIGT,PREDIR,STREETNAME,TYPE,SUFDIR,SPEED_LIM,HIGHWAY_NU,ALT_ID,GBSID,COUNTYRIGT,COUNTYLEFT,ONEWAY,MSLINK,F_XSTREET_1,F_XSTREET_2,F_XSTREET_3,T_XSTREET_1,T_XSTREET_2,T_XSTREET_3,GlobalID,FromLanes,ToLanes,Shape__Length
1,1601,1600,1799,1798,25TH AVE N,A40,,,55411,55411,MINNEAPOLIS,MINNEAPOLIS,,25TH,AVE,N,30,,1,16128,HENNEPIN,HENNEPIN,B,14394,JAMES AVE N,,,LOGAN AVE N,,,78bfc104-4b89-4e9a-85fb-621c426eb67d,1 Lane,1 Lane,228.4181154
2,2698,2699,2600,2601,50TH ST W,A30,COUNTY ROAD 21,,55410,55410,MINNEAPOLIS,MINNEAPOLIS,,50TH,ST,W,30,21,2,14440,HENNEPIN,HENNEPIN,B,13623,THOMAS AVE S,,,SHERIDAN AVE S,,,9465c759-f5e1-4eef-85a0-9e6a7f56f97c,1 Lane,1 Lane,141.5174513
3,2601,2600,2699,2698,GIRARD AVE N,A40,,,55411,55411,MINNEAPOLIS,MINNEAPOLIS,,GIRARD,AVE,N,30,,3,13686,HENNEPIN,HENNEPIN,B,7085,26TH AVE N,,,27TH AVE N,,,61ca0c43-742c-4da2-92d8-af6a641a87df,1 Lane,1 Lane,282.925443
4,100,101,198,199,37TH ST E,A40,,,55409,55409,MINNEAPOLIS,MINNEAPOLIS,,37TH,ST,E,30,,4,12418,HENNEPIN,HENNEPIN,B,12255,1ST AVE S,,,STEVENS AVE,,,fb47106b-e0a8-4922-9bed-ebc7af093f94,1 Lane,1 Lane,143.7943991
5,2000,2001,2098,2099,1ST ST S,A40,,,55454,55454,MINNEAPOLIS,MINNEAPOLIS,,1ST,ST,S,30,,5,19498,HENNEPIN,HENNEPIN,F,20823,20TH AVE S,,,21ST AVE S,22ND AVE S,,46a7e030-bf7d-4bfb-b638-2555091d84a2,1 Lane,1 Lane,209.2037687
6,4624,4625,4600,4601,45TH AVE S,A40,,,55406,55406,MINNEAPOLIS,MINNEAPOLIS,,45TH,AVE,S,30,,6,18492,HENNEPIN,HENNEPIN,B,13575,,,,46TH ST E,,,da26b06a-6d91-4c38-bd5c-26d1021d88df,1 Lane,1 Lane,57.90528227
7,2800,2801,2898,2899,BURNHAM BLVD,A40,,,55416,55416,MINNEAPOLIS,MINNEAPOLIS,,BURNHAM,BLVD,,30,,7,21537,HENNEPIN,HENNEPIN,B,23234,WASHBURN AVE S,,,WASHBURN AVE S,,,47ada78b-845d-4e49-a507-dec52f991e6e,1 Lane,1 Lane,215.477532
8,620,621,698,699,38TH ST E,A40,,,55407,55407,MINNEAPOLIS,MINNEAPOLIS,,38TH,ST,E,30,38,8,12365,HENNEPIN,HENNEPIN,B,3534,OAKLAND AVE,,,PARK AVE,,,9eae8099-1214-4b3c-9664-bdae6de576bd,1 Lane,1 Lane,139.6170707
9,1500,1501,1522,1523,37TH ST E,A40,,,55407,55407,MINNEAPOLIS,MINNEAPOLIS,,37TH,ST,E,30,,9,12327,HENNEPIN,HENNEPIN,B,3464,15TH AVE S,,,BLOOMINGTON AVE,,,e1f4aa06-b4eb-4d9e-b10f-d47f0afce227,1 Lane,1 Lane,140.9927939
10,1998,1999,1900,1901,IRVING AVE S,A40,,,55403,55403,MINNEAPOLIS,MINNEAPOLIS,,IRVING,AVE,S,30,,10,14814,HENNEPIN,HENNEPIN,B,7619,FRANKLIN AVE W,,,LINCOLN AVE,,,61ff4776-0b4a-44f1-abd7-09984311099b,1 Lane,1 Lane,271.8851747
