TripID,TripDuration,TripDistance,StartTime,EndTime,StartCenterlineID,StartCenterlineType,EndCenterlineID,EndCenterlineType,ObjectId
1047,2866,9521,2019-05-13T20:30:00.000Z,2019-05-13T21:00:00.000Z,,trail,,trail,1
1053,1387,5753,2019-05-13T20:30:00.000Z,2019-05-13T21:00:00.000Z,17242,street,11720,street,2
1060,962,1630,2019-05-13T20:30:00.000Z,2019-05-13T21:00:00.000Z,19502,street,17104,street,3
1048,423,2149,2019-05-13T20:30:00.000Z,2019-05-13T20:30:00.000Z,18092,street,15446,street,4
1042,3813,6943,2019-05-13T20:30:00.000Z,2019-05-13T21:30:00.000Z,18617,street,,trail,5
1043,2006,6015,2019-05-13T20:30:00.000Z,2019-05-13T21:00:00.000Z,18092,street,22024,street,6
1055,1570,3701,2019-05-13T20:30:00.000Z,2019-05-13T21:00:00.000Z,25281,street,16636,street,7
1051,2850,9467,2019-05-13T20:30:00.000Z,2019-05-13T21:00:00.000Z,,trail,,trail,8
1064,7456,11844,2019-05-13T21:00:00.000Z,2019-05-13T23:00:00.000Z,18092,street,22774,street,9
1068,3611,6634,2019-05-13T21:00:00.000Z,2019-05-13T22:00:00.000Z,18610,street,12417,street,10
1070,521,1597,2019-05-13T21:00:00.000Z,2019-05-13T21:00:00.000Z,17431,street,15177,street,11
1078,529,1103,2019-05-13T21:00:00.000Z,2019-05-13T21:00:00.000Z,,trail,,trail,12
1089,1623,4212,2019-05-13T21:00:00.000Z,2019-05-13T21:30:00.000Z,17052,street,16572,street,13
1091,1637,1920,2019-05-13T21:00:00.000Z,2019-05-13T21:30:00.000Z,21738,street,19289,street,14
1094,387,999,2019-05-13T21:00:00.000Z,2019-05-13T21:30:00.000Z,17431,street,15154,street,15
1062,267,600,2019-05-13T21:00:00.000Z,2019-05-13T21:00:00.000Z,,trail,,trail,16
1077,5868,9096,2019-05-13T21:00:00.000Z,2019-05-13T22:30:00.000Z,19104,street,12299,street,17
1084,165,187,2019-05-13T21:00:00.000Z,2019-05-13T21:00:00.000Z,,trail,,trail,18
